Experiment 1_26 By Biosemi,,,,Experiment 2_29 By ANT,,,,Experiment 3_39 By BP,,,,Experiment 4_30 By ANT,,,,Experiment 5_65 By Ant,,,,Experiment 6_95 By BP,,,,Experiment 7_142 By Biosemi,,,,Experiment 8_223 By BP(Fp1 and Fp2 are damaged),,,,Experiment 9_29 By BP,,,
sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad epoch,bad electrode,bad ica,sub_id,bad electrode,bad epoch,bad ica,sub_id,bad epoch,bad electrode,bad ica
,,,,,,,,31,\,\,1 3 6 9 22 28,,,,,31,\,Fp2 P8,1 2 3 11,31,6 7 30 37 38 42 46 56 58 70 72 73 76 ,Fpz,1 9 10 12 13 15 16 18 19 23 24 27 32 33 34,31,\,\,1   3   5   9  15  25,31,,1 12 13 24 28 29 30,1 2 3 5 7 8 11 14 15 17 18 19,,,,
,,,,,,,,32,\,O1 O2 TP9 TP10 Fp1 Fp2 F7 F8 AF7 AF8 Fpz ,1 2 3 4 5 6 7 9 10 11 14 19 27 30,,,,,32,\,M1 T7 T8 M2,1 2 3 4 10 12 23,32,\,Fpz Fp2,1 2 10 12 19 26 27 31 32 ,32,\,P1 P7 P8 PO8,1   2   3   4   9  10,32,,24,2 8 9 10 11 14 15 17,,,,
,,,,,,,,33,\,\,4 9 14 15 22,,,,,33,26,T7 T8,1 2 3 4 7 10 11 17,33,68,Fpz Fp2,2 9 14 17 22 25 32,33,\,P1 P7,1   3   5   6  14,33, TP9 TP10 T7,\,1 2 3 7 11 18,,,,
,,,,,,,,34,\,\,3 4 7 15 30,,,,,34,\,T8 M2,1 2 3 4 9 19,34,19 38 52 76 79 80,Fpz Fp2 PO8 O2,3 4 6 8 9 10 13 25 31,34,\,\,1   2   4  15,34,,1 10,1 2 3 4 6 7 16 18 19,,,,
,,,,,,,,35,\,\,1 2 3 4 5 11 14 15 17 18 19 26,,,,,35,\,M1 T7 T8 M2,1 2 3 4 5 6 7 ,35,\,Fpz Fp2,4 6 8 11 15 20 22 23 28 31 32,35,\,P1 PO7 FT8,1   2   3   4   5  11  15,35,,\,1 2 6 7 10 11 12 15 17 19,,,,
,,,,,,,,36,\,T8 TP8,1 2 4 9 21 24,,,,,36,\,M1 M2,1 2 3 4 5 19,36,\,Fpz Fp2,1 2 5 6 7 8 10 12 15 18 19 20 28 34,36,\,\,1   2   5  13,36,,1,1 2 6 7 10 11 12 15 17 19,,,,
,,,,,,,,37,\,\,1 3 4 5 6 8 9 11 16 21 22 28 29 31,,,,,37,16 22,T7 T8,1 3 4 7 12 14 20 24,37,36 38 73 ,Fpz Fp2,2 3 10 11 13 15 16 18 20 22 23 26 28 29 31 33 35,37,\,\,1   2   3   4   6   7   8  24  25,37, Fpz AF3 IO T8,\,1 2 4 20,,,,
,,,,,,,,38,2 3 4,FC6 FC4 Fpz,1 2 3 4 6 7 8 9 10 11 14 19 20 22 31,,,,,38,8 18 20,\,1 2 3 4 5 6 8 9 11,38,\,Fpz Fp2 T7 T8,1 4 5 10 14 15 16 18 20 28 33,38,5 9 17 24,P7,1   2   8  21,38, ,\,1 2 3 5 10 15 17 18 19,,,,
,,,,,,,,39,2 5,\,1 2 3 4 5 7,,,,,39,\,M2,2 3 4 5 7 12 19 24,39,\,Fpz Fp2,2 13 27 34 35,39,\,\,1   2   5   7  11  14  15  17,39, T7 T8 F6,\,1 2 6 9 11 13 16 19,,,,
,,,,,,,,,,,,,,,,40,23,T8 M2,1 2 4 10 13 14 21,40,\,Fpz Fp2 Oz Tp7 T8,1 2 9 12 29 32 33,40,\,\,1  3  4,40, AF3,\,1 2 4 11 18,,,,
